SubClient Configuration Information
Generated on: Feb 24, 2023, 5:29:07 AM

Subclient Retention Details
"Client","Agent","Instance","Subclient","Retention Policy","Primary Retention"
"ahppdldb01","Linux File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwacuity","SQL Server","AHPPDWACUITY","ACUITY","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwacuity","SQL Server","AHPPDWACUITY","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwacuity","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwacurpts","SQL Server","AHPPDWACURPTS","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwacurpts","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWALM01","Virtual Server","VMInstance","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwanlysql01","SQL Server","AHPPDWANLYSQL01","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwanlysql01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWAXMVSQL01","SQL Server","AHPPDWAXMVSQL01\AXMP","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWAXMVSQL01","Windows File System","","default","",""
"AHPPDWAXMVSQL02","SQL Server","AHPPDWAXMVSQL02\AXME","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"AHPPDWAXMVSQL02","Windows File System","","default","",""
"ahppdwaxmvsql03","SQL Server","AHPPDWAXMVSQL03","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwaxmvsql03","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwchraxim01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwclus01n01","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwclus01n02","Windows File System","","default","SP_PTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwhresb","SQL Server","AHPPDWHRESB","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
"ahppdwhresb","Windows File System","","default","SP_FTCData","Copy Name: Primary, Retention:14 Days 1 cycle"
