Backup job summary
 Report generated on Nov 10, 2022, 9:33:02 AM

Job Details
"Job ID","Server","Agent","HyperVisor Type","Subclient","Type","Backup Type","Application Size","Media Size","Job status","Failure Reason","Throughput (GB/Hour)","VM Operating System","VM Datastore","Retain Data Until"
"2563963","ahptdwstepwse01","SQL Server","N/A","default","Backup","Transaction Log","2359540","30257","Completed","","0.660","","","Dec 10, 2022, 08:00:16 AM"
"2563962","ahpddwstepwse01","SQL Server","N/A","default","Backup","Transaction Log","3539310","45285","Completed","","0.910","","","Dec 10, 2022, 08:00:16 AM"
"2563961","ahppdwmoveit01","SQL Server","N/A","default","Backup","Transaction Log","30802286","8026201","Completed","","0.470","","","Nov 24, 2022, 08:00:16 AM"
"2563960","ahptdwmoveit01","SQL Server","N/A","default","Backup","Transaction Log","14549236","4089936","Completed","","3.250","","","Dec 10, 2022, 08:00:15 AM"
"2563959","ahptdworahyp11","SQL Server","N/A","default","Backup","Transaction Log","22480800","1040082","Completed","","1.750","","","Dec 10, 2022, 08:00:15 AM"
"2563958","ahppdwintvsql03","SQL Server","N/A","default","Backup","Transaction Log","619514126","182478300","Completed","","39.190","","","Nov 24, 2022, 08:00:15 AM"
"2563957","ahppdwaxmvsql03","SQL Server","N/A","default","Backup","Transaction Log","10748392","153200","Completed","","3.000","","","Nov 24, 2022, 08:00:15 AM"
"2563956","ahppdwpsfvsql03","SQL Server","N/A","default","Backup","Transaction Log","35914338","12111791","Completed","","9.260","","","Nov 24, 2022, 08:00:15 AM"
"2563955","ahp0430","SQL Server","N/A","default","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 08:00:15 AM"
"2563954","AHPPDWINFA01","SQL Server","N/A","default","Backup","Transaction Log","56166426","10464229","Completed","","0.230","","","Nov 24, 2022, 08:00:15 AM"
"2563953","ahppdwvrnssql01","SQL Server","N/A","default","Backup","Transaction Log","4719080","61509","Completed","","0.060","","","Nov 24, 2022, 08:00:15 AM"
"2563952","AHPPDWINTVSQL02","SQL Server","N/A","06:00 AM backup","Backup","Transaction Log","10748270","2436988","Completed","","3.600","","","Nov 24, 2022, 08:00:15 AM"
"2563951","AHPPDWINTVSQL02","SQL Server","N/A","default","Backup","Transaction Log","13501758","191717","Completed","","2.160","","","Nov 24, 2022, 08:00:14 AM"
"2563950","AHPPDWHRPVSQL02","SQL Server","N/A","06:00 AM backup","Backup","Transaction Log","0","0","Completed","","'-1.000","","","Nov 10, 2022, 08:00:14 AM"
"2563949","AHPPDWHRPVSQL02","SQL Server","N/A","default","Backup","Transaction Log","8520534","113498","Completed","","1.790","","","Nov 24, 2022, 08:00:14 AM"
"2563948","AHPPDWAXMVSQL02","SQL Server","N/A","default","Backup","Transaction Log","1179770","15470","Completed","","0.260","","","Nov 24, 2022, 08:00:14 AM"
"2563947","AHPQDWPSFVSQL01","SQL Server","N/A","default","Backup","Transaction Log","6750818","205036","Completed","","1.260","","","Dec 10, 2022, 08:00:14 AM"
"2563946","AHPQDWINTVSQL01","SQL Server","N/A","06:00 AM backup","Backup","Transaction Log","9437428","2436350","Completed","","2.880","","","Dec 10, 2022, 08:00:14 AM"
"2563945","AHPQDWINTVSQL01","SQL Server","N/A","default","Backup","Transaction Log","20973350","372861","Completed","","2.200","","","Dec 10, 2022, 08:00:14 AM"
"2563944","AHPQDWHRPVSQL01","SQL Server","N/A","06:00 AM backup","Backup","Transaction Log","1179770","15728","Completed","","0.400","","","Dec 10, 2022, 08:00:13 AM"
"2563943","AHPQDWHRPVSQL01","SQL Server","N/A","default","Backup","Transaction Log","10093520","144583","Completed","","1.410","","","Dec 10, 2022, 08:00:13 AM"
"2563942","AHPQDWAXMVSQL01","SQL Server","N/A","default","Backup","Transaction Log","12911202","394518","Completed","","2.400","","","Dec 10, 2022, 08:00:13 AM"
"2563941","AHPTDWINTVSQL01","SQL Server","N/A","default","Backup","Transaction Log","30346096","441437","Completed","","1.960","","","Dec 10, 2022, 08:00:13 AM"
